version,lr_label,alpha,run,category,rows,updates,abs_delta_w_sum,sign_flips,flips_per_1k_updates,abs_delta_w_per_update,relative_jitter,mean_abs_contribution,mean_avg_abs_td_x_feature,mean_activation_rate
trimmed,1x,0.006,better_approxq_logadp_finetune_50k_time_equal,old_rank_action_counts,660,23259797.0,280.26254420908094,2102.0,0.0903705221503008,1.2049225718052525e-05,0.9868031897915636,0.0017551821826562294,0.001995357993165923,0.022887198172840843
trimmed,1x,0.006,better_approxq_logadp_finetune_50k_time_equal,old_rank_landlord_bottom,60,2114527.0,99.37819610441728,115.0,0.054385685309291394,4.699783739078162e-05,0.9856748992102877,0.01643403781380597,0.007828206778464093,0.22631846996081328
trimmed,1e-1,0.0006,better_approxq_logadp_finetune_50k_time_equal_lr_1e-1,new_grouped_rank_summary,840,29565592.0,1423.2620135394898,6090.0,0.205982684195872,4.813913462444756e-05,0.9994114018540731,0.019485281716694527,0.08046728456164778,0.6345441308356828
trimmed,1e-1,0.0006,better_approxq_logadp_finetune_50k_time_equal_lr_1e-1,action_context,1080,38012904.0,1336.5098498765806,17769.0,0.4674465281579118,3.515937245616858e-05,0.997371936091921,0.011999424929940584,0.05878077655460146,0.3086746953430352
trimmed,1e-1,0.0006,better_approxq_logadp_finetune_50k_time_equal_lr_1e-1,rank_summary,480,16894624.0,1123.2348810545388,5092.0,0.30139765170269545,6.648475166150716e-05,0.999691799290911,0.02806715453025893,0.11114442836373799,0.8276097526484884
trimmed,1e-1,0.0006,better_approxq_logadp_finetune_50k_time_equal_lr_1e-1,farmer_role_specialized,1200,42236560.0,930.7432025392447,2253.0,0.05334241235555168,2.2036434845528252e-05,0.9991113902250824,0.013144877367375634,0.037338610041324084,0.11931461063834928
trimmed,1e-1,0.0006,better_approxq_logadp_finetune_50k_time_equal_lr_1e-1,position_identity,300,10559140.0,852.4571502514038,792.0,0.07500610845201408,8.07316836647117e-05,0.9991647852055512,0.04586924000177532,0.1354511346366519,0.5333333333333333
trimmed,1e-1,0.0006,better_approxq_logadp_finetune_50k_time_equal_lr_1e-1,cards_left,480,16894624.0,785.8372134698188,2187.0,0.1294494627403368,4.651403981940165e-05,0.9984755217676479,0.048636201640493246,0.07782999333220657,0.9553737229093084
trimmed,1e-1,0.0006,better_approxq_logadp_finetune_50k_time_equal_lr_1e-1,other_compact_base,1260,44348388.0,679.4472704391958,1002.0,0.022593831369924877,1.5320675701655624e-05,0.9926022204710975,0.015115220416226498,0.025677582032438726,0.34352719861107506
trimmed,1e-1,0.0006,better_approxq_logadp_finetune_50k_time_equal_lr_1e-1,old_rank_last_move,480,16894624.0,650.9782438651295,2805.0,0.166029146313052,3.8531679892084575e-05,0.9979354538867065,0.015309899312366657,0.06444432089120328,0.46024078595851653
